t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
8850,0,23,3865,16726,optimal,5.60556822510692,0.06540937500540167
8850,1,23,3865,16705,optimal,5.605552247566349,0.06626245798543096
8850,2,23,3865,16860,optimal,5.604818996317956,0.0723804589943029
9000,0,31,7833,20440,optimal,10.47325176132679,2.141639666981064
9000,1,31,7833,20601,optimal,10.476660406049964,2.066113792010583
9000,2,31,7833,20794,optimal,10.544535119074839,0.933014957990963
9150,0,31,5209,20485,optimal,9.694870023504189,0.09043737495085225
9150,1,31,5209,20627,optimal,9.728397068096214,0.09952450002310798
9150,2,31,5209,20918,optimal,9.785733669347566,0.09308012499241158
9300,0,30,5041,20060,optimal,8.88940188364325,0.09477399999741465
9300,1,30,5041,20208,optimal,8.903958517512311,0.0887677920400165
9300,2,30,5041,20531,optimal,8.956192036454947,0.09326470800442621
9450,0,29,4873,19878,optimal,8.115201183897721,0.09846258297329769
9450,1,29,4873,19943,optimal,8.124311191708529,0.0881642919848673
9450,2,29,4873,20269,optimal,8.17450233521326,0.09438512503402308
9600,0,28,4705,19846,optimal,7.449264269710613,0.0835326670203358
9600,1,28,4705,19771,optimal,7.462488906030004,0.08253950002836064
9600,2,28,4705,20230,optimal,7.5049301761019365,0.0877625840366818
9750,0,28,4705,20279,optimal,6.969043655269312,0.09140158299123868
9750,1,28,4705,20052,optimal,6.976752150839969,0.09186437499010935
9750,2,28,4705,20551,optimal,7.004239673305242,0.08093454100890085
9900,0,28,4705,20649,optimal,6.602193070602716,0.08474008296616375
9900,1,28,4705,20330,optimal,6.602974180887259,0.08787904196651652
9900,2,28,4705,20823,optimal,6.619220594091332,0.08067125000525266
10050,0,28,4705,20962,optimal,6.276484661285253,0.08809012500569224
10050,1,28,4705,20597,optimal,6.272995157167396,0.08166366699151695
10050,2,28,4705,21033,optimal,6.2847857419611115,0.08678904199041426
10200,0,28,4705,21148,optimal,6.0100636761236705,0.0853975840145722
10200,1,28,4705,20749,optimal,6.007544806541547,0.0801558339735493
10200,2,28,4705,21172,optimal,6.020181165376974,0.08623929199529812
10350,0,28,4705,21246,optimal,5.8334851159470364,0.08229233301244676
10350,1,28,4705,20838,optimal,5.834398965287816,0.0804952920298092
10350,2,28,4705,21217,optimal,5.846506645500544,0.09062054101377726
10500,0,25,4201,19202,optimal,5.642161577735705,0.0745749999769032
10500,1,25,4201,18839,optimal,5.648473727815361,0.07965383300324902
10500,2,25,4201,19246,optimal,5.65613166514888,0.07752791699022055
10650,0,25,4201,19283,optimal,5.510802919941916,0.07844929199200124
10650,1,25,4201,18930,optimal,5.5122482139941695,0.08342091599479318
10650,2,25,4201,19238,optimal,5.514944150212179,0.07202416699146852
10800,0,33,8169,22532,optimal,9.457176785242863,0.8797196670202538
10800,1,33,8169,22271,optimal,9.397499699620191,1.5426815410028212
10800,2,33,8169,22846,optimal,9.454699954925578,1.172964958997909
10950,0,32,5377,21996,optimal,9.112389658639808,0.10222504200646654
10950,1,32,5377,21831,optimal,9.042190284277664,0.09958333399845287
10950,2,32,5377,22277,optimal,9.096701431128036,0.1265150840044953
11100,0,32,5377,22184,optimal,8.618755400849297,0.10646633297437802
11100,1,32,5377,21944,optimal,8.561217838284657,0.09907041699625552
11100,2,32,5377,22366,optimal,8.6144110201551,0.10127966600703076
11250,0,32,5377,22282,optimal,7.983816500673863,0.09464716701768339
11250,1,32,5377,22005,optimal,7.945254119434622,0.10515041701728478
11250,2,32,5377,22460,optimal,7.99345173542752,0.09410070796729997
11400,0,31,5209,21452,optimal,7.482724461238928,0.09509979101130739
11400,1,31,5209,21208,optimal,7.468828817651533,0.09204404102638364
11400,2,31,5209,21571,optimal,7.497117041485068,0.09606845799135044
11550,0,31,5209,21505,optimal,7.024885459319,0.09109383297618479
11550,1,31,5209,21218,optimal,7.0353881388719275,0.09263274999102578
11550,2,31,5209,21608,optimal,7.037623004068468,0.08918725000694394
11700,0,31,5209,21463,optimal,6.58080539955732,0.09051195799838752
11700,1,31,5209,21151,optimal,6.588682450976172,0.09420858399244025
11700,2,31,5209,21544,optimal,6.588046036713714,0.08987304201582447
11850,0,30,5041,20728,optimal,6.320686472840228,0.09066849999362603
11850,1,30,5041,20549,optimal,6.328503599820733,0.0869911250192672
11850,2,30,5041,20791,optimal,6.325657539703163,0.08554608304984868
12000,0,28,4705,19511,optimal,6.087905665023938,0.08167024998692796
12000,1,28,4705,19382,optimal,6.097638011395989,0.0766389169730246
12000,2,28,4705,19517,optimal,6.0906843294847235,0.08329345897072926
12150,0,28,4705,19660,optimal,5.861137316386482,0.0771016669459641
12150,1,28,4705,19572,optimal,5.871779407118535,0.07755445799557492
12150,2,28,4705,19592,optimal,5.855819212766428,0.08347366697853431
12300,0,28,4705,19760,optimal,5.670531754567137,0.07842612499371171
12300,1,28,4705,19675,optimal,5.681288167842194,0.07928841596003622
12300,2,28,4705,19733,optimal,5.663792958453406,0.0780025830026716
12450,0,27,4537,19036,optimal,5.470034273644264,0.07508245803182945
12450,1,27,4537,18944,optimal,5.478441535156051,0.08131662500090897
12450,2,27,4537,18977,optimal,5.475278894050555,0.07612616696860641
12600,0,35,8505,22752,optimal,9.89458439997465,0.9199240420130081
12600,1,35,8505,22490,optimal,9.899421602017808,1.1805300409905612
12600,2,35,8505,23181,optimal,9.910474106576228,1.1693970420164987
12750,0,34,5713,21939,optimal,9.57399913267144,0.10728066699812189
12750,1,34,5713,21609,optimal,9.574236965803092,0.10013400000752881
12750,2,34,5713,22127,optimal,9.57998923750281,0.09920612501446158
12900,0,34,5713,22093,optimal,9.027431002065839,0.0960467080003582
12900,1,34,5713,21860,optimal,9.041756744263601,0.09911512496182695
12900,2,34,5713,22480,optimal,9.049537354627333,0.12057679198915139
13050,0,34,5713,22289,optimal,8.410041600125288,0.1018506659893319
13050,1,34,5713,22088,optimal,8.436337245570142,0.10412070900201797
13050,2,34,5713,22879,optimal,8.438995889061696,0.10742641700198874
13200,0,34,5713,22494,optimal,7.906584657047388,0.11007991601945832
13200,1,34,5713,22344,optimal,7.926325495294023,0.09863550000591204
13200,2,34,5713,23167,optimal,7.9303197964289325,0.10595116700278595
13350,0,33,5545,22115,optimal,7.297926385652804,0.11433737498009577
13350,1,33,5545,21866,optimal,7.30511939410778,0.10373445798177272
13350,2,33,5545,22741,optimal,7.305119697855751,0.09868699999060482
13500,0,33,5545,22285,optimal,6.768355402082487,0.10226858302485198
13500,1,33,5545,22207,optimal,6.771925061850736,0.09718945797067136
13500,2,33,5545,22954,optimal,6.772896808094133,0.09768308297498152
13650,0,33,5545,22513,optimal,6.340415406426501,0.11051420803414658
13650,1,33,5545,22461,optimal,6.341523249688703,0.10226645797956735
13650,2,33,5545,23050,optimal,6.342260196813124,0.11565708299167454
13800,0,32,5377,22279,optimal,6.003552315974072,0.09388533403398469
13800,1,32,5377,22121,optimal,6.005119235291158,0.10205629101255909
13800,2,32,5377,22621,optimal,6.005476730865885,0.09162408398697153
13950,0,32,5377,22468,optimal,5.733236083421844,0.10339133301749825
13950,1,32,5377,22324,optimal,5.734559413225531,0.09075116697931662
13950,2,32,5377,22811,optimal,5.7347939251577085,0.09113350004190579
14100,0,32,5377,22603,optimal,5.483859154291263,0.09773970796959475
14100,1,32,5377,22482,optimal,5.484835447003558,0.09279954194789752
14100,2,32,5377,22912,optimal,5.484823961080057,0.09938525001052767
14250,0,30,5041,21568,optimal,5.329294000267367,0.08687800000188872
14250,1,30,5041,21448,optimal,5.329652683342858,0.08759358298266307
14250,2,30,5041,21843,optimal,5.329645166131871,0.09297491598408669
14400,0,30,5041,21635,optimal,5.207686133155564,0.10463979101041332
14400,1,30,5041,21558,optimal,5.2077082689595855,0.3447721250122413
14400,2,30,5041,21877,optimal,5.2077007517485985,0.21011250000447035
14550,0,28,4705,20379,optimal,5.120396052371457,0.19078829098725691
14550,1,28,4705,20357,optimal,5.120395927452486,0.18026370799634606
14550,2,28,4705,20552,optimal,5.1203884102415,0.12262695794925094
14700,0,26,4369,18700,optimal,5.064572207702255,0.0975932499859482
14700,1,26,4369,18711,optimal,5.064572098917088,0.08063987497007474
14700,2,26,4369,18837,optimal,5.064564604210925,0.08796337497187778
14850,0,26,4369,18699,optimal,5.021609750957817,0.10656087502138689
14850,1,26,4369,18744,optimal,5.021609642172649,0.08290604199282825
14850,2,26,4369,18786,optimal,5.021602147466486,0.07845483301207423
15000,0,26,4369,18697,optimal,4.99518709152371,0.09149566700216383
15000,1,26,4369,18755,optimal,4.995186982738543,0.07147075003013015
15000,2,26,4369,18760,optimal,4.99517948803238,0.08335024997359142
15150,0,26,4369,18683,optimal,4.970784735781793,0.09357849997468293
15150,1,26,4369,18763,optimal,4.970784626996625,0.07354166597360745
15150,2,26,4369,18723,optimal,4.970784407168907,0.07899974996689707
15300,0,26,4369,18728,optimal,4.948548686111904,0.09976712497882545
15300,1,26,4369,18748,optimal,4.948548618034237,0.08132145804120228
15300,2,26,4369,18742,optimal,4.9485484838463725,0.0767579170060344
15450,0,26,4369,18744,optimal,4.937896082411017,0.07717141701141372
15450,1,26,4369,18749,optimal,4.937896082411017,0.07030666701029986
15450,2,26,4369,18745,optimal,4.937896082411017,0.07046191702829674
15600,0,25,4201,17873,optimal,4.932353712562363,0.07649020798271522
15750,0,25,4201,17864,optimal,4.932353712562363,0.0790632080170326
15900,0,25,4201,17848,optimal,4.932353712562363,0.06875841598957777
16050,0,25,4201,17857,optimal,4.932353712562363,0.06647199997678399
16200,0,25,4201,17872,optimal,4.932353712562363,0.08380783395841718
16350,0,25,4001,16717,optimal,4.932353712562363,0.06408929196186364
16500,0,25,3651,15227,optimal,4.932353712562363,0.06888025003718212
16650,0,25,3301,13743,optimal,4.932353712562363,0.0690369579824619
16800,0,25,2951,12277,optimal,4.932353712562363,0.052726499969139695
16950,0,25,2601,10812,optimal,4.932353712562363,0.042664207983762026
17100,0,25,2251,9337,optimal,4.932353712562363,0.03898637497331947
17250,0,25,1901,7847,optimal,4.932353712562363,0.03252383403014392
17400,0,25,1551,6340,optimal,4.932353712562363,0.027601250039879233
17550,0,25,1201,4851,optimal,4.932353712562363,0.02116808301070705
17700,0,25,851,3378,optimal,4.932353712562363,0.015461916977073997
17850,0,25,501,1936,optimal,4.932353712562363,0.009633207984734327
18000,0,25,151,471,optimal,4.932353712562363,0.0027078749844804406
