t_s,level,iter,n_active,n_vars,n_rows,status,objective,wall_s
12750,depth,0,32,5377,21172,optimal,9.25574131196321,0.0943475830135867
12750,route,,32,2500,16917,optimal,163513395162.81595,0.042874749982729554
12750,depth,1,32,5377,24422,optimal,9.284714624636031,0.10595320898573846
12900,depth,0,32,5377,21341,optimal,8.421701636855678,0.09386845800327137
12900,route,,32,2472,17131,optimal,174031907769.96234,0.04228400002466515
12900,depth,1,32,5377,24984,optimal,8.437138853049523,0.1129883750109002
13050,depth,0,30,5041,20342,optimal,7.695131311388694,0.08754070900613442
13050,route,,30,2444,17162,optimal,356429268794.17505,0.04416770796524361
13050,depth,1,30,5041,24101,optimal,7.696522287508756,0.10603825002908707
13200,depth,0,30,5041,20590,optimal,7.151347619060028,0.0933904999983497
13200,route,,30,2435,17256,optimal,558513466314.0084,0.040657624951563776
13200,depth,1,30,5041,24121,optimal,7.151661337865455,0.09818429197184741
13350,depth,0,30,5041,20780,optimal,6.657677599496623,0.09238670801278204
13350,route,,30,2416,17152,optimal,709607588639.7844,0.04683745902730152
13350,depth,1,30,5041,24194,optimal,6.657991948545948,0.09605608298443258
13500,depth,0,30,5041,20959,optimal,6.3020936192177475,0.09855229099048302
13500,route,,30,2345,16685,optimal,727672876881.3558,0.040280082961544394
13500,depth,1,30,5041,23707,optimal,6.3023975813884325,0.09430674999020994
13650,depth,0,30,5041,21174,optimal,5.998675895678332,0.09263649996137246
13650,route,,30,2272,16263,optimal,759259577402.9811,0.043794041965156794
13650,depth,1,30,5041,23380,optimal,5.998929405920559,0.09257108299061656
13800,depth,0,30,5041,21370,optimal,5.7416522972772235,0.0930810000281781
13800,route,,30,2164,15744,optimal,702891308025.679,0.03631229104939848
13800,depth,1,30,5041,23245,optimal,5.741912398595501,0.09843070799252018
13950,depth,0,30,5041,21495,optimal,5.535298563569988,0.08596675004810095
13950,route,,30,2028,15185,optimal,545701051294.4397,0.033862417039927095
13950,depth,1,30,5041,23336,optimal,5.535455039956479,0.09757774998433888
14100,depth,0,29,4873,20894,optimal,5.3536651059169476,0.08795554196694866
14100,route,,29,1918,14713,optimal,328006745469.22406,0.03276633395580575
14100,depth,1,29,4873,23131,optimal,5.3536958085549955,0.0938753749942407
14250,depth,0,27,4537,19826,optimal,5.246008584126934,0.09081141703063622
14250,route,,27,1845,14257,optimal,188724742665.99832,0.03378170798532665
14250,depth,1,27,4537,22368,optimal,5.246008584126935,0.08946049999212846
14400,depth,0,26,4369,19157,optimal,5.172513371287142,0.08898375002900138
14400,route,,26,1824,13972,optimal,190997972185.03464,0.03758795897010714
14400,depth,1,26,4369,21998,optimal,5.172511247534014,0.08720725000603124
14550,depth,0,26,4369,19211,optimal,5.1064473377629716,0.07904366601724178
14550,route,,26,1784,13771,optimal,217528354511.2656,0.033651583013124764
14550,depth,1,26,4369,21863,optimal,5.1064420801708605,0.09040837502107024
14700,depth,0,24,4033,17512,optimal,5.055991749933873,0.0660816669696942
14700,route,,24,1737,13649,optimal,211027688935.97684,0.03130095801316202
14700,depth,1,24,4033,19786,optimal,5.055985380130811,0.07801841601030901
14850,depth,0,24,4033,17472,optimal,5.017164636192386,0.06562033301452175
14850,route,,24,1696,13409,optimal,121476117615.10304,0.03080245800083503
14850,depth,1,24,4033,19449,optimal,5.017157992479452,0.07247808302054182
15000,depth,0,24,4033,17448,optimal,4.99372415224771,0.07218779204413295
15000,route,,24,1644,13090,optimal,68969243024.63635,0.028833042015321553
15000,depth,1,24,4033,19498,optimal,4.99371932686184,0.07752316701225936
15150,depth,0,24,4033,17409,optimal,4.97007828742783,0.06530666700564325
15150,route,,24,1600,12998,optimal,55669641947.53085,0.027270291990134865
15150,depth,1,24,4033,19396,optimal,4.9700740211672025,0.06950099999085069
15300,depth,0,24,4033,17435,optimal,4.948492939585439,0.07071329199243337
15300,route,,24,1550,12900,optimal,53793164994.45851,0.032340665988158435
15300,depth,1,24,4033,19137,optimal,4.948490232001077,0.06732991698663682
15450,depth,0,24,4033,17460,optimal,4.937876538619376,0.06369845801964402
15450,route,,24,1500,12663,optimal,63601982739.34065,0.02541404200019315
15450,depth,1,24,4033,18940,optimal,4.937876538619376,0.07359054201515391
15600,depth,0,23,3865,16611,optimal,4.932334168770722,0.05971520801540464
15600,route,,23,1493,12467,optimal,68586371872.84443,0.025096124969422817
15600,depth,1,23,3865,18057,optimal,4.932334168770722,0.06165129202418029
15750,depth,0,23,3865,16624,optimal,4.932334168770722,0.06734075001440942
15750,route,,23,1492,12219,optimal,55864671411.09338,0.02551620901795104
15750,depth,1,23,3865,18098,optimal,4.932334168770722,0.06842750002397224
15900,depth,0,23,3865,16634,optimal,4.932334168770722,0.061852832965087146
15900,route,,23,1490,11930,optimal,195431895116.50723,0.024886291997972876
15900,depth,1,23,3865,17737,optimal,4.932334168770722,0.06258145801257342
16050,depth,0,23,3865,16632,optimal,4.932334168770722,0.06830637500388548
16050,route,,23,1478,11675,optimal,198925681411.0286,0.02411216701148078
16050,depth,1,23,3865,17570,optimal,4.932334168770722,0.06687987502664328
16200,depth,0,23,3865,16630,optimal,4.932334168770722,0.059359207982197404
16200,route,,23,1458,11400,optimal,174793246439.0831,0.02307616703910753
16200,depth,1,23,3865,17515,optimal,4.932334168770722,0.05993529100669548
16350,depth,0,23,3681,15539,optimal,4.932334168770722,0.061769665975589305
16350,route,,23,1452,11104,optimal,159737548610.50305,0.02397024998208508
16350,depth,1,23,3681,16400,optimal,4.932334168770722,0.06392929202411324
16500,depth,0,23,3359,14142,optimal,4.932334168770722,0.0503710419870913
16500,route,,23,1448,11032,optimal,156472855947.9911,0.022169499949086457
16500,depth,1,23,3359,14776,optimal,4.932334168770722,0.051619375008158386
16650,depth,0,23,3037,12773,optimal,4.932334168770722,0.04819645802490413
16650,route,,23,1459,11186,optimal,127304050039.83853,0.023837915970943868
16650,depth,1,23,3037,13377,optimal,4.932334168770722,0.05099679104750976
16800,depth,0,23,2715,11411,optimal,4.932334168770722,0.040049417002592236
16800,route,,23,1475,11435,optimal,121057640445.67223,0.02219749998766929
16800,depth,1,23,2715,11933,optimal,4.932334168770722,0.04072166699916124
16950,depth,0,23,2393,10059,optimal,4.932334168770722,0.0353611659957096
16950,route,,23,1503,11710,optimal,10404112696.619225,0.022910624975338578
16950,depth,1,23,2393,10476,optimal,4.932334168770722,0.041840083023998886
17100,depth,0,23,2071,8695,optimal,4.932334168770722,0.030052625050302595
17100,route,,23,1524,12033,optimal,9333404029.170921,0.029508624982554466
17100,depth,1,23,2071,9054,optimal,4.932334168770722,0.030962084012571722
17250,depth,0,23,1749,7305,optimal,4.932334168770722,0.026314874994568527
17250,route,,23,1428,11268,optimal,8736717917.76274,0.0280485000112094
17250,depth,1,23,1749,7698,optimal,4.932334168770722,0.026461916975677013
17400,depth,0,23,1427,5896,optimal,4.932334168770722,0.021974166971631348
17400,route,,23,1252,9681,optimal,7777289213.293085,0.01927095901919529
17400,depth,1,23,1427,6292,optimal,4.932334168770722,0.02363708399934694
17550,depth,0,23,1105,4502,optimal,4.932334168770722,0.020905999990645796
17550,route,,23,1043,7869,optimal,25205594972.898678,0.016274333000183105
17550,depth,1,23,1105,4895,optimal,4.932334168770722,0.017779041023459285
17700,depth,0,23,783,3127,optimal,4.932334168770722,0.012167125009000301
17700,route,,23,757,5537,optimal,5017726906.2074795,0.011557916994206607
17700,depth,1,23,783,3413,optimal,4.932334168770722,0.011778292013332248
17850,depth,0,23,461,1792,optimal,4.932334168770722,0.006795166002120823
17850,route,,23,441,3166,optimal,2858266139.494597,0.007160375011153519
17850,depth,1,23,461,1968,optimal,4.932334168770722,0.0071497089811600745
18000,depth,0,23,139,435,optimal,4.932334168770722,0.0021169160027056932
18000,route,,23,90,647,optimal,541331870.2233905,0.0019210830214433372
18000,depth,1,23,139,467,optimal,4.932334168770722,0.002089541987515986
