t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
1670,Tokyo,,,0,UNREACHABLE,,,False
1670,Sao-Paulo,,,0,UNREACHABLE,,,False
1680,Tokyo,,,0,UNREACHABLE,,,False
1680,Sao-Paulo,,,0,UNREACHABLE,,,False
1690,Tokyo,,,0,UNREACHABLE,,,False
1690,Sao-Paulo,,,0,UNREACHABLE,,,False
1700,Tokyo,,,0,UNREACHABLE,,,False
1700,Sao-Paulo,,,0,UNREACHABLE,,,False
1710,Tokyo,,,0,UNREACHABLE,,,False
1710,Sao-Paulo,,,0,UNREACHABLE,,,False
1720,Tokyo,,,0,UNREACHABLE,,,False
1720,Sao-Paulo,,,0,UNREACHABLE,,,False
1730,Tokyo,,,0,UNREACHABLE,,,False
1730,Sao-Paulo,,,0,UNREACHABLE,,,False
1740,Tokyo,,,0,UNREACHABLE,,,False
1740,Sao-Paulo,,,0,UNREACHABLE,,,False
1750,Tokyo,,,0,UNREACHABLE,,,False
1750,Sao-Paulo,,,0,UNREACHABLE,,,False
1760,Tokyo,,,0,UNREACHABLE,,,False
1760,Sao-Paulo,,,0,UNREACHABLE,,,False
1770,Tokyo,,,0,UNREACHABLE,,,False
1770,Sao-Paulo,,,0,UNREACHABLE,,,False
1780,Tokyo,,,0,UNREACHABLE,,,False
1780,Sao-Paulo,,,0,UNREACHABLE,,,False
1790,Tokyo,,,0,UNREACHABLE,,,False
1790,Sao-Paulo,,,0,UNREACHABLE,,,False
1800,Tokyo,,,0,UNREACHABLE,,,False
1800,Sao-Paulo,,,0,UNREACHABLE,,,False
1810,Tokyo,,,0,UNREACHABLE,,,False
1810,Sao-Paulo,,,0,UNREACHABLE,,,False
1820,Tokyo,,,0,UNREACHABLE,,,False
1820,Sao-Paulo,,,0,UNREACHABLE,,,False
1830,Tokyo,,,0,UNREACHABLE,,,False
1830,Sao-Paulo,,,0,UNREACHABLE,,,False
1840,Tokyo,,,0,UNREACHABLE,,,False
1840,Sao-Paulo,,,0,UNREACHABLE,,,False
1850,Tokyo,,,0,UNREACHABLE,,,False
1850,Sao-Paulo,,,0,UNREACHABLE,,,False
1860,Tokyo,,,0,UNREACHABLE,,,False
1860,Sao-Paulo,,,0,UNREACHABLE,,,False
1870,Tokyo,,,0,UNREACHABLE,,,False
1870,Sao-Paulo,,,0,UNREACHABLE,,,False
1880,Tokyo,,,0,UNREACHABLE,,,False
1880,Sao-Paulo,,,0,UNREACHABLE,,,False
1890,Tokyo,0,10.69,0,0→6,1,5.902,True
1890,Sao-Paulo,,,0,UNREACHABLE,,,False
1900,Tokyo,0,11.72,0,0→6,1,5.682,True
1900,Sao-Paulo,,,0,UNREACHABLE,,,False
1910,Tokyo,0,12.81,0,0→6,1,5.464,True
1910,Sao-Paulo,,,0,UNREACHABLE,,,False
1920,Tokyo,0,13.97,0,0→6,1,5.246,True
1920,Sao-Paulo,,,0,UNREACHABLE,,,False
1930,Tokyo,0,15.2,0,0→6,1,5.03,True
1930,Sao-Paulo,,,0,UNREACHABLE,,,False
1940,Tokyo,0,16.51,0,0→6,1,4.815,True
1940,Sao-Paulo,,,0,UNREACHABLE,,,False
1950,Tokyo,0,17.92,0,0→6,1,4.602,True
1950,Sao-Paulo,,,0,UNREACHABLE,,,False
1960,Tokyo,0,19.43,0,0→6,1,4.39,True
1960,Sao-Paulo,,,0,UNREACHABLE,,,False
1970,Tokyo,0,21.06,0,0→6,1,4.181,True
1970,Sao-Paulo,,,0,UNREACHABLE,,,False
1980,Tokyo,0,22.84,0,0→6,1,3.974,True
1980,Sao-Paulo,,,0,UNREACHABLE,,,False
1990,Tokyo,0,24.77,0,0→6,1,3.769,True
1990,Sao-Paulo,,,0,UNREACHABLE,,,False
2000,Tokyo,0,26.89,0,0→6,1,3.569,True
