t_s,delivered_images,utility,backlog_bits,n_active
15480,12751197.4,124.5858,642113430,3
15510,12758490.8,124.6134,573653138,3
15540,12763040.7,124.6271,528622751,3
15570,12765471.8,124.6302,501238635,1
15600,12767902.9,124.6329,473854518,1
15630,12770334.1,124.6355,446470401,1
15660,12772765.2,124.6377,419086285,1
15690,12775196.3,124.6398,391702168,1
15720,12777627.4,124.6416,364318051,1
15750,12780058.5,124.6433,336933934,1
15780,12782489.7,124.6448,309549818,1
15810,12784920.8,124.6462,282165701,1
15840,12787351.9,124.6474,254781584,1
15870,12789783.0,124.6486,227397468,1
15900,12792214.1,124.6496,200013351,1
15930,12794645.3,124.6505,172629234,1
15960,12797076.4,124.6513,145245118,1
15990,12799507.5,124.6521,117861001,1
16020,12801938.6,124.6528,90476884,1
16050,12804369.7,124.6534,63092768,1
16080,12806800.8,124.6539,35708651,1
16110,12809232.0,124.6545,8324534,1
16140,12809971.0,124.6546,0,1
16170,12809971.0,124.6546,0,0
16200,12809971.0,124.6546,0,0
16230,12809971.0,124.6546,0,0
16260,12809971.0,124.6546,0,0
16290,12809971.0,124.6546,0,0
16320,12809971.0,124.6546,0,0
16350,12809971.0,124.6546,0,0
16380,12809971.0,124.6546,0,0
16410,12809971.0,124.6546,0,0
16440,12809971.0,124.6546,0,0
16470,12809971.0,124.6546,0,0
16500,12809971.0,124.6546,0,0
16530,12809971.0,124.6546,0,0
16560,12809971.0,124.6546,0,0
16590,12809971.0,124.6546,0,0
16620,12809971.0,124.6546,0,0
16650,12809971.0,124.6546,0,0
16680,12809971.0,124.6546,0,0
16710,12809971.0,124.6546,0,0
16740,12809971.0,124.6546,0,0
16770,12809971.0,124.6546,0,0
16800,12809971.0,124.6546,0,0
16830,12809971.0,124.6546,0,0
16860,12809971.0,124.6546,0,0
16890,12809971.0,124.6546,0,0
16920,12809971.0,124.6546,0,0
16950,12809971.0,124.6546,0,0
16980,12809971.0,124.6546,0,0
17010,12809971.0,124.6546,0,0
17040,12809971.0,124.6546,0,0
17070,12809971.0,124.6546,0,0
17100,12809971.0,124.6546,0,0
17130,12809971.0,124.6546,0,0
17160,12809971.0,124.6546,0,0
17190,12809971.0,124.6546,0,0
17220,12809971.0,124.6546,0,0
17250,12809971.0,124.6546,0,0
17280,12809971.0,124.6546,0,0
17310,12809971.0,124.6546,0,0
17340,12809971.0,124.6546,0,0
17370,12809971.0,124.6546,0,0
17400,12809971.0,124.6546,0,0
17430,12809971.0,124.6546,0,0
17460,12809971.0,124.6546,0,0
17490,12809971.0,124.6546,0,0
17520,12809971.0,124.6546,0,0
17550,12809971.0,124.6546,0,0
17580,12809971.0,124.6546,0,0
17610,12809971.0,124.6546,0,0
17640,12809971.0,124.6546,0,0
17670,12809971.0,124.6546,0,0
17700,12809971.0,124.6546,0,0
17730,12809971.0,124.6546,0,0
17760,12809971.0,124.6546,0,0
17790,12809971.0,124.6546,0,0
17820,12809971.0,124.6546,0,0
17850,12809971.0,124.6546,0,0
17880,12809971.0,124.6546,0,0
17910,12809971.0,124.6546,0,0
17940,12809971.0,124.6546,0,0
17970,12809971.0,124.6546,0,0
18000,12809971.0,124.6546,0,0
