gs,sat,start_s,end_s,duration_s
Tokyo,407,6780,7020,240
Tokyo,408,6450,6780,330
Tokyo,409,6240,6600,360
Tokyo,410,6060,6420,360
Tokyo,411,5880,6240,360
Tokyo,412,5700,6060,360
Tokyo,413,5520,5880,360
Tokyo,414,5370,5700,330
Tokyo,415,5190,5520,330
Tokyo,416,5010,5340,330
Tokyo,416,11280,11310,30
Tokyo,417,4830,5160,330
Tokyo,417,11070,11130,60
Tokyo,418,4650,4980,330
Tokyo,418,10860,10980,120
Tokyo,419,4470,4800,330
Tokyo,419,10680,10800,120
Tokyo,420,4290,4620,330
Tokyo,420,10500,10620,120
Tokyo,421,4110,4440,330
Tokyo,421,10290,10470,180
Tokyo,422,3930,4260,330
Tokyo,422,10110,10290,180
Tokyo,423,3750,4080,330
Tokyo,423,9930,10110,180
Tokyo,424,3570,3900,330
Tokyo,424,9750,9930,180
Tokyo,425,3390,3720,330
Tokyo,425,9540,9750,210
Tokyo,426,3240,3540,300
Tokyo,426,9360,9600,240
Tokyo,427,3060,3360,300
Tokyo,427,9180,9420,240
Tokyo,428,2880,3180,300
Tokyo,428,9000,9240,240
Tokyo,429,2700,3000,300
Tokyo,429,8820,9060,240
Tokyo,430,2520,2820,300
Tokyo,430,8610,8880,270
Tokyo,431,2370,2640,270
Tokyo,431,8430,8700,270
Tokyo,432,2190,2460,270
Tokyo,432,8250,8550,300
Tokyo,433,2010,2280,270
Tokyo,433,8070,8370,300
Tokyo,434,1830,2100,270
Tokyo,434,7890,8190,300
Tokyo,435,1680,1890,210
Tokyo,435,7710,8010,300
Tokyo,436,1500,1710,210
Tokyo,436,7530,7830,300
Tokyo,437,1320,1530,210
Tokyo,437,7350,7650,300
Tokyo,438,1170,1350,180
Tokyo,438,7170,7470,300
Tokyo,439,990,1140,150
Tokyo,439,6990,7290,300
Tokyo,440,840,960,120
Tokyo,440,6810,7140,330
Tokyo,441,690,750,60
Tokyo,441,6630,6960,330
Tokyo,442,6330,6660,330
Tokyo,442,12480,12690,210
Tokyo,443,6150,6480,330
Tokyo,443,12300,12510,210
Tokyo,444,5970,6300,330
Tokyo,444,12120,12330,210
Tokyo,445,5790,6120,330
Tokyo,445,11940,12150,210
Tokyo,446,5610,5940,330
Tokyo,446,11760,11970,210
Tokyo,447,5430,5760,330
Tokyo,447,11550,11820,270
Tokyo,448,5280,5580,300
Tokyo,448,11370,11640,270
Tokyo,449,5100,5400,300
Tokyo,449,11190,11460,270
Tokyo,450,4920,5220,300
Tokyo,450,11010,11280,270
Tokyo,451,4740,5040,300
Tokyo,451,10830,11100,270
Tokyo,452,4590,4830,240
Tokyo,452,10650,10920,270
Tokyo,453,4410,4650,240
Tokyo,453,10470,10740,270
Tokyo,454,4230,4470,240
Tokyo,454,10290,10590,300
Tokyo,455,4080,4290,210
Tokyo,455,10080,10410,330
Tokyo,456,3900,4110,210
Tokyo,456,9900,10230,330
Tokyo,457,3720,3900,180
Tokyo,457,9720,10050,330
Tokyo,458,3570,3720,150
Tokyo,458,9540,9870,330
Tokyo,459,3420,3540,120
Tokyo,459,9360,9690,330
Tokyo,460,3240,3330,90
Tokyo,460,9180,9510,330
Tokyo,461,3120,3120,0
Tokyo,461,9000,9330,330
Tokyo,462,8820,9150,330
Tokyo,463,8640,8970,330
Tokyo,464,8460,8820,360
Tokyo,465,8280,8640,360
Tokyo,466,8100,8460,360
Tokyo,467,7920,8280,360
Tokyo,468,7740,8100,360
Tokyo,469,7560,7920,360
Tokyo,469,13830,13860,30
Tokyo,470,7380,7740,360
Tokyo,470,13650,13710,60
Tokyo,471,7200,7560,360
Tokyo,471,13440,13530,90
Tokyo,472,7020,7380,360
Tokyo,472,13260,13380,120
Tokyo,473,6840,7200,360
Tokyo,473,13050,13200,150
Tokyo,474,6690,7020,330
Tokyo,474,12870,13020,150
Tokyo,475,6510,6840,330
Tokyo,475,12690,12840,150
Tokyo,476,6300,6480,180
Tokyo,476,12300,12630,330
Tokyo,477,6120,6300,180
Tokyo,477,12120,12450,330
Tokyo,478,5970,6090,120
Tokyo,478,11940,12270,330
Tokyo,479,5820,5910,90
Tokyo,479,11760,12090,330
Tokyo,480,5670,5700,30
Tokyo,480,11580,11910,330
Tokyo,481,11400,11730,330
Tokyo,482,11220,11550,330
Tokyo,483,11040,11370,330
Tokyo,484,10860,11190,330
Tokyo,485,10680,11010,330
Tokyo,486,10500,10830,330
Tokyo,487,10320,10650,330
Tokyo,488,10140,10470,330
Tokyo,488,16410,16410,0
Tokyo,489,9960,10290,330
Tokyo,489,16200,16260,60
Tokyo,490,9780,10140,360
Tokyo,490,16020,16110,90
Tokyo,491,9600,9960,360
Tokyo,491,15810,15930,120
Tokyo,492,9420,9780,360
Tokyo,492,15630,15750,120
Tokyo,493,9240,9600,360
Tokyo,493,15450,15600,150
Tokyo,494,9060,9420,360
Tokyo,494,15240,15420,180
Tokyo,495,8880,9240,360
Tokyo,495,15060,15240,180
Tokyo,496,8700,9060,360
Tokyo,496,14880,15060,180
Tokyo,497,8550,8880,330
Tokyo,497,14700,14910,210
Tokyo,498,8370,8700,330
Tokyo,498,14490,14730,240
Tokyo,499,8190,8520,330
Tokyo,499,14310,14550,240
Tokyo,500,8010,8310,300
Tokyo,500,14130,14370,240
Tokyo,501,7830,8130,300
Tokyo,501,13950,14190,240
Tokyo,502,7650,7950,300
Tokyo,502,13770,14040,270
Tokyo,503,7500,7770,270
Tokyo,503,13590,13860,270
Tokyo,504,7320,7590,270
Tokyo,504,13410,13680,270
Tokyo,505,7140,7410,270
Tokyo,505,13200,13500,300
Tokyo,506,6960,7230,270
Tokyo,506,13020,13320,300
Tokyo,507,6810,7050,240
Tokyo,507,12840,13140,300
Tokyo,508,6630,6870,240
Tokyo,508,12660,12960,300
Tokyo,509,6480,6660,180
Tokyo,509,12480,12780,300
Tokyo,510,12180,12510,330
Tokyo,511,12000,12330,330
Tokyo,512,11820,12150,330
Tokyo,512,18000,18000,0
Tokyo,513,11640,11970,330
Tokyo,513,17820,18000,180
Tokyo,514,11460,11790,330
Tokyo,514,17640,17820,180
Tokyo,515,11280,11610,330
Tokyo,515,17460,17640,180
Tokyo,516,11100,11430,330
Tokyo,516,17250,17460,210
Tokyo,517,10920,11250,330
Tokyo,517,17070,17280,210
Tokyo,518,10740,11070,330
Tokyo,518,16890,17130,240
Tokyo,519,10590,10890,300
Tokyo,519,16710,16950,240
Tokyo,520,10410,10710,300
Tokyo,520,16530,16770,240
Tokyo,521,10230,10530,300
Tokyo,521,16320,16590,270
Tokyo,522,10050,10350,300
Tokyo,522,16140,16410,270
Tokyo,523,9900,10170,270
Tokyo,523,15960,16230,270
Tokyo,524,9720,9990,270
Tokyo,524,15780,16080,300
Tokyo,525,9540,9810,270
Tokyo,525,15600,15900,300
Tokyo,526,9360,9600,240
Tokyo,526,15420,15720,300
Tokyo,527,9210,9420,210
Tokyo,527,15240,15540,300
Tokyo,528,9030,9240,210
Tokyo,528,15060,15360,300
Tokyo,529,8850,9060,210
Tokyo,529,14880,15180,300
Tokyo,530,8700,8850,150
Tokyo,530,14700,15000,300
Tokyo,531,8550,8670,120
Tokyo,531,14490,14820,330
Tokyo,532,8370,8490,120
Tokyo,532,14310,14640,330
Tokyo,533,8220,8280,60
Tokyo,533,14130,14490,360
Tokyo,534,13950,14310,360
Tokyo,535,13770,14130,360
Tokyo,536,13590,13950,360
Tokyo,537,13410,13770,360
Tokyo,538,13230,13590,360
Tokyo,539,13050,13410,360
Tokyo,540,12870,13230,360
Tokyo,541,12690,13050,360
Tokyo,542,12510,12870,360
Tokyo,543,12360,12690,330
Tokyo,544,12120,12360,240
Tokyo,545,11940,12180,240
Tokyo,545,17970,18000,30
Tokyo,546,11760,12000,240
Tokyo,546,17790,18000,210
Tokyo,547,11610,11820,210
Tokyo,547,17610,17940,330
Tokyo,548,11430,11610,180
Tokyo,548,17430,17760,330
Tokyo,549,11250,11430,180
Tokyo,549,17250,17580,330
Tokyo,550,11100,11250,150
Tokyo,550,17070,17400,330
Tokyo,551,10950,11040,90
Tokyo,551,16890,17220,330
Tokyo,552,10800,10830,30
Tokyo,552,16710,17040,330
Tokyo,553,16530,16860,330
Tokyo,554,16350,16680,330
Tokyo,555,16170,16500,330
Tokyo,556,15990,16320,330
Tokyo,557,15810,16140,330
Tokyo,558,15630,15990,360
Tokyo,559,15450,15810,360
Tokyo,560,15270,15630,360
Tokyo,561,15090,15450,360
Tokyo,562,14910,15270,360
Tokyo,563,14730,15090,360
Tokyo,564,14550,14910,360
Tokyo,565,14370,14730,360
Tokyo,566,14190,14550,360
Tokyo,567,14040,14370,330
Tokyo,568,13860,14190,330
Tokyo,569,13680,14010,330
Tokyo,570,13500,13830,330
Tokyo,571,13320,13650,330
Tokyo,572,13140,13470,330
